roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
associate,Ford,Kolkata,0-3 Yrs,Business servicesFinancial statementsAccountingFinanceRegulatory complianceTaxationManagementPayroll administration,Not disclosed,Manufacturing & Production,0-3,0,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
associate,Ford,Mumbai,0-3 Yrs,Business servicesFinancial statementsAccountingFinanceRegulatory complianceTaxationManagementPayroll administration,Not disclosed,Manufacturing & Production,0-3,0,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
associate,Ford,New Delhi,0-3 Yrs,Business servicesFinancial statementsAccountingFinanceRegulatory complianceTaxationManagementPayroll administration,Not disclosed,Manufacturing & Production,0-3,0,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
associate,Ford,Hyderabad,0-3 Yrs,Business servicesFinancial statementsAccountingFinanceRegulatory complianceTaxationManagementPayroll administration,Not disclosed,Manufacturing & Production,0-3,0,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
associate,Ford,Pune,0-3 Yrs,Business servicesFinancial statementsAccountingFinanceRegulatory complianceTaxationManagementPayroll administration,Not disclosed,Manufacturing & Production,0-3,0,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
associate,Ford,Chennai,0-3 Yrs,Business servicesFinancial statementsAccountingFinanceRegulatory complianceTaxationManagementPayroll administration,Not disclosed,Manufacturing & Production,0-3,0,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
associate,Ford,Bengaluru,0-3 Yrs,Business servicesFinancial statementsAccountingFinanceRegulatory complianceTaxationManagementPayroll administration,Not disclosed,Manufacturing & Production,0-3,0,3,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
area sales manager,Deepak Fertilisers And Petrochemicals (Dfpcl),Kolkata,8-12 Yrs,Analytical skillsCompetency mappingSalesTechnical servicesRelationship buildingAccount managementArea Sales ManagerCoal mining,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
area sales manager,Deepak Fertilisers And Petrochemicals (Dfpcl),Mumbai,8-12 Yrs,Analytical skillsCompetency mappingSalesTechnical servicesRelationship buildingAccount managementArea Sales ManagerCoal mining,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
area sales manager,Deepak Fertilisers And Petrochemicals (Dfpcl),New Delhi,8-12 Yrs,Analytical skillsCompetency mappingSalesTechnical servicesRelationship buildingAccount managementArea Sales ManagerCoal mining,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
area sales manager,Deepak Fertilisers And Petrochemicals (Dfpcl),Hyderabad,8-12 Yrs,Analytical skillsCompetency mappingSalesTechnical servicesRelationship buildingAccount managementArea Sales ManagerCoal mining,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
area sales manager,Deepak Fertilisers And Petrochemicals (Dfpcl),Pune,8-12 Yrs,Analytical skillsCompetency mappingSalesTechnical servicesRelationship buildingAccount managementArea Sales ManagerCoal mining,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
area sales manager,Deepak Fertilisers And Petrochemicals (Dfpcl),Chennai,8-12 Yrs,Analytical skillsCompetency mappingSalesTechnical servicesRelationship buildingAccount managementArea Sales ManagerCoal mining,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
area sales manager,Deepak Fertilisers And Petrochemicals (Dfpcl),Bengaluru,8-12 Yrs,Analytical skillsCompetency mappingSalesTechnical servicesRelationship buildingAccount managementArea Sales ManagerCoal mining,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
assistant manager (qm electricals & instrumentation),Ksb Pumps Limited,Kolkata,8-12 Yrs,GRNSAP QM moduleAnalyticalInspectionInstrumentationHRDNew product developmentIMS,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
assistant manager (qm electricals & instrumentation),Ksb Pumps Limited,Mumbai,8-12 Yrs,GRNSAP QM moduleAnalyticalInspectionInstrumentationHRDNew product developmentIMS,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
assistant manager (qm electricals & instrumentation),Ksb Pumps Limited,New Delhi,8-12 Yrs,GRNSAP QM moduleAnalyticalInspectionInstrumentationHRDNew product developmentIMS,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
assistant manager (qm electricals & instrumentation),Ksb Pumps Limited,Hyderabad,8-12 Yrs,GRNSAP QM moduleAnalyticalInspectionInstrumentationHRDNew product developmentIMS,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
assistant manager (qm electricals & instrumentation),Ksb Pumps Limited,Pune,8-12 Yrs,GRNSAP QM moduleAnalyticalInspectionInstrumentationHRDNew product developmentIMS,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
assistant manager (qm electricals & instrumentation),Ksb Pumps Limited,Chennai,8-12 Yrs,GRNSAP QM moduleAnalyticalInspectionInstrumentationHRDNew product developmentIMS,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
assistant manager (qm electricals & instrumentation),Ksb Pumps Limited,Bengaluru,8-12 Yrs,GRNSAP QM moduleAnalyticalInspectionInstrumentationHRDNew product developmentIMS,Not disclosed,Manufacturing & Production,8-12,8,12,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Senior,False,False
marketing manager,Tcpl,Bengaluru,5-10 Yrs,CartonsMarketing OperationsFlexible PackagingVendor ManagementProject CoordinationPrintingProject ExecutionPrinting And Packaging,10-16 Lacs PA,Manufacturing & Production,5-10,5,10,10.0,16.0,True,13.0,4.0,2024-11-20,10.0,Mid,False,True
marketing manager,Tcpl,Greater Noida,5-10 Yrs,CartonsMarketing OperationsFlexible PackagingVendor ManagementProject CoordinationPrintingProject ExecutionPrinting And Packaging,10-16 Lacs PA,Manufacturing & Production,5-10,5,10,10.0,16.0,True,13.0,4.0,2024-11-20,10.0,Mid,False,True
